Speaker,Dialogue
assistant,"I'm sorry, sir, they said it was an emergency."
kimble, Can you talk?
nichols, Richard. Yes... I'm on a hotel phone. What's going on?
kimble,"I found him, Charlie. I found the guy that killed Helen."
nichols, What?
kimble,"It's all about a drug, Charlie. They tried to kill me because of a drug."
nichols,Who?
kimble,Devlin-MacGregor and Lentz. Lentz was supervising the R.D.U.90 protocol. He knew I'd found out the drug had problems. It's Lentz.
nichols,"Richard, Lentz is dead. He died in an auto accident last summer."
nichols,Can you prove this about the drug?
kimble,I need your help. Call Mr. Roosevelt and tell him I'm coming in.
renfro,If you were Richard Kimble... Why would you hunt for a one-armed man you think killed your wife; find hint then leave him and call us?
poole,To throw us off his trail.
renfro,Unless... What if you were a well respected surgeon and wanted to kill your wife? How would you do it?
biggs,I'd hire a pro. Sight unseen.
poole,Set it up to look like a robbery gone bad.
renfro,How would you find him? Look in the phone book?
renfro,Through a connection.
poole,Maybe through a company you did some business with.
biggs,Like a pharmaceutical company. Someone in security.
newman,"On the night of his wife's murder, Kimble attended a hospital benefit sponsored by Devlin-Macgregor Pharmaceutical - Sykes' company."
biggs,But Sykes claims he was out of town.
poole,And company records support that he was on a business trip.
renfro,That's an easy fix. So let's say he was in town. Did the job. Everything goes as planned with one problem.
newman,"Instead of looking like a robbery gone bad, Kimble ends up being the one accused..."
biggs,"... tried, convicted..."
poole,... and the hit man gets away clean.
renfro,So Kimble returns to hunt for and find the hit man.
newman,Why? To share the blame? He'd still go to prison.
renfro,You're underestimating the power of the good doctor. It would be his word against... Sykes'. Who would you believe?
biggs,So what does Kimble do next?
renfro,Get help.
gerard,"Stevens, check phone records for Sykes and Kimble."
gerard,Find out who this guy is.
newman, Why do I get all the great jobs?
roosevelt,"It sure is good to see you again, Dr. Kimble."
kimble,"You too, Roosevelt... Been a long time."
roosevelt,This is the R.D.U.90 file and samples. Dr. Nichols said you needed.
kimble,"Thanks, Roosevelt."
sykes,"I want to report a fire; No, it's not my place, it's a couple doors down."
wahlund," Oh, my God... Richard."
kimble,"I loaned you something once, Kath, and I need them back."
nichols,Mr. Gerard.
gerard,Doctor. Could I have a minute?
renfro,He's a security specialist at Devlin-Macgregor Pharmaceuticals.
nichols,"I don't know him. You're getting pretty desperate aren't you, Mr. Gerard. I told you, you wouldn't find Richard."
gerard," Dr. Kimble hasn't come back to you for help, has he?"
nichols,No. And it seems like we've been over this ground before. Now if you'll excuse me.
gerard,Dr. Nichols. Do you know the other man in the photograph?
nichols,I never saw him before.
renfro, I bet they line up to hear that one.
kimble,"Half the people in the study were indigents. No follow-up, no baseline on them. Who could say they didn't come into the study with bad livers?"
wahlund,The one on the right is one of the samples you sent me. It shows a lot of perriportal inflammation loaded with eosinophils. When you see that with the accumulation of bile it's a classic for -
kimble,- drug induced hepatitis.
wahlund,I'm impressed. Now look at this.
wahlund,"According to the study, this is a slice from the same liver."
kimble,Cold normal.
wahlund,Clearly not from the same tissue. In fact.
wahlund,See this small area of bile duct proliferation? Von Meyenberg's Complex. Occurs in only 2% of the population. But it's in every one of your five samples.
kimble,That's statistically impossible.
wahlund,That's because they're all from the same liver.
betty,His name's Lentz. A pathologist. I only remember him because he died last summer.
newman,Anybody down in pathology who might know something about the guy?
betty,"It's kinda late to catch anyone, but you might go by the morgue. There's an old guy down there who's been around forever."
biggs,Just what I want to do before dinner.
newman,Are you Mr. Roosevelt?
roosevelt,Yes.
biggs,"We're United States Marshals. We're trying to find out some information about a pathologist, named Lentz. He used to be on staff here."
roosevelt,He's dead.
newman,"Yeah, we heard. We wanted to know if he knew or had any contact with Dr. Richard Kimble?"
roosevelt,I... I haven't seen Dr. Kimble.
newman," That's not what I asked, sir. I just wanted to know if Dr. Kimble and Dr. Lentz knew each other?"
roosevelt,"I... I don't know. Excuse me, I got to go."
biggs,I think you're lying to us.
kimble,They'd be home free if I hadn't been leaning on them to account for the livers I was seeing. And I wouldn't have seen the livers if I hadn't told the guys on my service to call me when they had cases that were bleeding excessively in surgery.
wahlund,"Big bucks. One schmuck standing in the way. Easy, get rid of him and his wife. But why Lentz?"
kimble,"Why not? He's one of the original patent holders. Toss the samples I sent, replace them with healthy samples, issue the path report on the healthy stuff-piece of cake."
kimble,When did Lentz die?
wahlund,"Oh, last summer sometime. August... Why?"
kimble,Because a good third of the samples Lentz approved were signed after he died.
kimble,Someone else used Lentz's name.
wahlund,A pathologist at Devlin-Macgregor?
kimble,They wouldn't have had the access. They would have needed someone at the hospital.
wahlund,Where are you going?
kimble,To see an old friend.
poole,It's Newman. Line two.
