Speaker,Dialogue
coffer,"They say Freddy Sykes is with them -- you rode with the old man, didn't you, Mr. Thornton -- you and Pike and the old man? But Thornton rides on and doesn't answer."
carmen,"Miha -- trigame auga.por los frijolesl The girl jumps to her feet, hands both men a bucket ,"
pike,Hard to believe.
don jose,Not so hard -- we all dream of being a-child again -- even the worst of us -- perhaps the worst most of all..
pike," You know us, then --"
don jose,"I know myself only -- where I have been, what I have done."
pike,"Like to ride with us, old man? And for a moment, the old man's eyes flash as he watches: 162- DUTCH AND THREEVILLAGERS SHOEING a very small, very mean 16L. mule. All four have been drinking a little and are thoroughly enjoying themselves as is the mule as he pitches and knocks them all sprawling.."
don jose,"-- I am too old. (almost cursing, indicating"
sykes,"Hell, you ain't so old; partner."
don jose,They were many -- who shot -- your father resisted like a man and died like a man -- names in this matter have no importance.  I lie -- I ran --
sykes,Joe --'by God I like you. I like a man who tells the truth.
don jose, Mapache.
angel,That is.name enough.
pike,The Federal. troops they don? t. protect you --
icon jose,"They were Federal troops; -- commissioned by the traitor Huerta -- seven of the village were killed --.our horses and cattle and corn stolen -- all in the name of Huerta, the killer of our President Francisco I.. Madero -- In Mexico, Senor - these are the years of sadness."
angel,"(after a long moment,"
don jose,Gone.
don jose,"No -- she went with them because she wished to. She became the woman of Mapache -- and others -- she went with them laughing -- Drunk with wine and love. Angel, knowing it's true, turns and moves away. Pike looks after him.'"
don jose,To him she was a goddess. To be wor- shipped from afar -- with music and flowers -- a deity to be followed and adored at a dis -nee but Mapache -' knew she was a mango -- ripe and waiting...
pike,-So Angel lives with a dream -- while Mapache eats the mango --
don jose,Just so -
pike,Many times -- and with the mango too.
pike,"I never could carry a candle to you, old timer."
don jose," And. which do you prefer, the dream or the taste?"
pike,I dream when I sleep -- and eat when I'm hungry.
don jose, Just so  -- the both of you and Map-ache and I --
angel,Where is Mapache?;
thornton,"Ride ahead, all of you. And they do, riding toward Harrigan as we.,"
don jose,"Why do you wish to know -- for your father - or the whore? Pike looks up as Angel fights within himself to find an answer,"
angel,"As you say, Jefe - to Agua Verde and 'our business.'"
dutch,All soldiers - not a bounty hunter in sight.
pike,"We'll go. have a drink, then try and sell the horses."
sykes,'Who'.s going to buy -- looks to me like. this place has been picked clean.
angel, He's been here; 186 THE HORSES PUT THEIR EARS BACK and whinny nervously as an incredible noise is heard off scene. The men snap their heads.around and look at:
pike,I seen one just like this in Waco...
lyle,Run on steam?
pike,No...alcohol:...or gasoline. 190 FREDDY SYKES EDGES UP CLOSE TO PIKE. He is anxious to make a. statement and he speaks to him as he walks around the car.
sykes,Pike... .I heard about one they got up north that. kin fly; Pike nods sagely. Te.ctor Gorch on the other side of the car hears the remark.
pike,"No,. the old man's right. They -got t em now with motors and wings -- cover 60 miles in less than an hour...goin' to use them in the war, they say.  This could cover. 30 miles in an hour -- ' cording to the road, of course."
dutch,That could run a horse right into the ground.
pike,"Not that easy -- these automobiles can't stand.any rough ground -- or hot sun like a horse ---they're for show mostly. 191 TECTOR TOUCHES A FENDER AND ONE of the guards spurs toward him, cursing in Spanish. Tector backs off,. hands in the air."
tector,"I was just going to touch th.,e damn thing, not marry it."
angel,Un gigante de miquina -- Ha de tenor una fuerza tremenda. 
guard,"-La fuerza.do 1,000 caballos. "
angel,Y el dueno -- un general por lo menos. 
guard,"Mapache? Mis que un general - un hombre hecho para reinar todo Mexico, si Dios quiere. "
pike,"You're here with us,pardner -- any business you got with the general comes after we finish ours -- and that is selling horses.."
angel," As you wish. He turns away, Pike grabs him, jerks him back,"
dutch, Angel -- who does this thing belong to?
angel, Es el carrazo oficial de.su excelencia el Generalisimo Mapache. Dutch turns smiling and tells the others.
dutch,The official carrazo of the Pache Generalisimo. CONTINUED
pike,"Let's get some beer and talk to the general about his automobile and our extra horses,,.nice and easy. The men turn and follow him into the cantina."
emma,Diga?
pike,"Beers.. six cervesas,"
emma,"Como? Angel remains silent, looking at the General,"
dutch,Seii cervesas. The girl leaves to' get the order. The men at the table look around the cantina. At a nearby table a group of men are throwing dice and laughing loudly. The mariachis are gather- ing around Mapache.. Lyle shifts in his chair to look at them. 198 MAPACHE IS LAUGHING AND DRINKING. The German. leans close to Zamorra and speaks in Spanish.
mohr,Do you know these Americans?
