Speaker,Dialogue
marke,I didnt ask you were you were. Your heart is beating so fast.
isolde,Is it?
marke,Isolde. Is there anything I can do to make you happier. I want to make you happy.
isolde,Im fine.
wictred,Shes in love with Tristan. Theyre intimates. If I expose them it will break Markes heart and his hold on the other Barons.
king donnchadh,How?
wictred,"With Markes champion in chains, well take Castle Dor. You can man your armies unopposed. There will be no one defending you in the waters."
king donnchadh,And your price?
wictred,I want Markes throne.
king donnchadh,"When his throne falls apart, well go over and pick up the pieces."
marke,Tristan? Can I speak with you? Is it possible... do you think a man blinded by love... Is it possible that that man might not see treachery right in front of him?
tristan,No.
marke,"Perhaps you could follow her. I cant ask anyone else. I know. I know what you think  Im acting like a child. Normally I can read faces, but with hers I feel like... I can't be objective. Shes so delicate."
tristan,You really love her.
marke,"Oh... I do...terribly. I didnt know how empty I was. She sustains me, she thrills me. And when I see this ring, it is a ring of thorns."
tristan,The ring is nothing. She's loyal to you. I am sure of it.
marke,... If you say so.
man,I count nine
tristan,If they move they will warn us with a black flag
marke,You bring an entourage?
king donnchadh,"I can let myself be alone in my position Lord Marke. But dont worry, they will stay offshore.  I miss you."
marke,"My nephew, Merlot of Cornwall"
king donnchadh,"And Tristan, slayer of my best general, winner of Isolde, defender of the alliance. You are a fortunate man."
marke,Indeed.
marke,Tristan! Seems I worried for nothing.
wictred,"May I dance with the Queen, or does Tristan have the next one?"
marke,"Thats right, you have never danced with Isolde before!"
wictred,A new song for Tristan. Slow.
isolde,Why did you burn it?
tristan,You know.
isolde,Meet me there in an hour or Ill die.
marke,"I could still teach you a thing or two, dancing being one of them."
kaye,Accuse him now.
wictred,"No, no, no. Well have more than accusations."
marke,Is something the matter?
isolde,Im just feeling a little weary thats all. I might just go and have a lie down.
marke,Of course.
wictred,"Friends, friends hear me! Weve forgotten the full moon isnt it time to ride out?"
general,No. Tonight it cause for exception.
wictred,"But the coronation should uphold tradition, surely it is not to be neglected already?"
marke,We honour it. In half a night. Ride out! Wheres Tristan?
isolde,I miss Ireland
tristan,"Isolde, this must end."
isolde,Thats like asking me to stop breathing.
tristan,It cannot be.  [Elsewhere Wictred leads the hunt to where Tristan and Isolde are]
isolde,Please dont leave me. Please!
marke,Isolde? There is someone...  No.
king donnchadh,"I see how it is in Cornwall. My money is good enough, my alliance is good enough, but my daughter you pass amoung your lieutenants like a whore!"
isolde,Its not like that.
king donnchadh,I see no relation to me here! I will see this peace end.
wictred,You have brought the allegiance to shame. Who would fight for this?
marke,Seize him. Seize him.
melot,Behold your hero uncle  I would have no heroes now.
bodkin,Theyre ashore.
king donnchadh,Prove your worth.
baron,"If a man cant rule his woman, how can he govern an entire Kingdom?"
melot,He cant.
lord,We have suffered peace.
baron,Its all been coming apart. I can feel it
lord,Youre right.
wictred,"There is very little time. Fortunately, Donnchadh has no quarrel with anybody here. Hes asked me to give you a message."
baron,Whats this?
wictred,"It is compensation for the men you will lose attacking Castle Dor with Donnchadh tomorrow. Lets be honest, our people need a stronger leader."
baron,"And who might that be, Wictred?"
wictred,Melot. Too long the ablest amoung us has been denied his rightful place. I pledge you my legiance and offer him my services as his second.
melot,I like this plan.
