Speaker,Dialogue
pamela,-- the hotel -- how far? --
teddy,"-- five, six minutes --"
cronin,-- Kurt -- you're here! -- keep the comm line open! --
swat captain,Cal    l all the    guests on the 6th floor. Tel    l them to    remain in their rooms. Tell the    m it's a    police order. Then start on the     5th and    8th floors.
b216,B216   INT. ROOM #645 -- NIGHT BOURNE backs away -- surveys the room -- his watch -- his balance and --
teddy,"Black coat,    possibly leather. Dark slacks. Dar    k t-shirt.  He says they   're gonna try and corral the guests on th   e street over there, and then check them o   ut, but..."
pamela," Yeah, that'll work...What the hell was he doing here?"
cronin,Maybe he just needed a place to spend the night?
pamela,I want to look at the room.                          *                          * Check it out.                                        *
abbott, They missed him?
abbott,He let her go? Great. Where's Danny?                 * He should head over there and debrief                * her.                                                 *                                     * What's here? What was he doing?                      *
teddy,We don't know. They're in a room upstairs. I was told to wait down here.
abbott,"OK, if you see Danny tell him I went back             * to the hotel.                                         *  ABBOTT steps out into the street as..."
abbott,You told me Bourne was dead.
gretkov,There was a mistake.
abbott,I'l   l say. You killed his goddam                             * gir   lfriend instead. Now they're onto                        * Nes   ki. They're at the Brecker Hotel even                    * as    we speak.                                                *
gretkov,Will it track back to us?                                      *
abbott,"No. The files are spotless. Whatever                           * they find, it's just going to make Conklin                     * look worse.                                                    *"
gretkov,And the Landy woman?                                           *
abbott,She's done everything I wanted. She bit                        * on Conklin so fast it was laughable. She                       * even found his bogus Swiss account...                          *
abbott,"                                        * The   re's a bo   dy in the basem   ent. Dann    y Zor   n. He's     got to disappea   r. For go    od. Cle   an and fa   st. I'll put h    im in bed    with Con   klin and    Bourne. Even t    he girl, N   icky.         * Giv   e me twen   ty-four hours,    I'll think    it up.     But get    the goddamn bo   dy out of the   re."
gretkov,One last push. One.
248   *,"248    INT. LOBBY -- HOTEL BRECKER -- NIGHT As PAMELA and CRONIN exit the elevator, they are met by            * TEDDY.                                                             *"
teddy,"Here's what    I've got.  Remember Vla   dimir Neski? R    ussian                  * politician?     Seven years ag   o, he was due           * to speak to    a group of Euro   pean Oil                * ministers he   re at the hotel   . He never              * did. He was     murdered.                                *"
teddy,His wife. In room 645. Then she shot                     * herself.                                                 *                               * -- they have to be related.                              *
pamela,Are we hacking or asking?
pamela,"And what about you, anything?                                *"
cronin,It's starting to link up -- the hijacked                     * money -- the leak -- Pecos Oil -- one                        * last bit is Treadstone.                                      *
260,260   INT. MOSCOW TRAIN/PASSENGER CAR -- DAWN BOURNE -- asleep in his chair -- rocked by the rhythm.           But something wakes him up.
bourne,Hey...
marie,You do?
bourne,I only dream about people who are dead.
marie,                             * Jason. You know exactly what to do.     That         * is your mission now.                                 *
261-262    *,261-262   DELETED
pamela,Sorry to wake you.
abbott,                              * You OK?                                                    *
pamela,Bunch of stuff.
pamela,There's something else.
abbott,What?
pamela,They found Danny Zorn's body. Dead in the basement at the building where my people got hit the first time.
abbott,"Oh, God...   It must have been Bourne.             *"
pamela,Did he say anything to you?
abbott,No... It must have been Bourne.
pamela,We'll know for sure when we get the                * security tapes.                                    *
abbott,Moscow? What the Hell's he going to Moscow for?
pamela, Don't know.
abbott,"Jesus... I, Zorn... I have to call his family. Tell them..."
pamela,"I'm sorry, Ward."
gretkov,Da...
gretkov, This is not a clean phone.
267   *,"267   INT. WESTIN GRAND HOTEL LOBBY -- DAWN Everyone still here. CRONIN answering his cell phone --           * motioning to them, he's got news --"
cronin, You're sure?
pamela,What?   The tapes?                                      *
cronin, Yep. And Ab    bott just direct dialed Moscow           * from his roo   m...
gretkov,"Leaving was a business decision.     We're both rich, come enjoy it."
abbott,What do you mean?
gretkov,Go to the airport. Get a plane. I'll have a brass band waiting for you.
abbott,Save it for Bourne.
gretkov,What?
abbott,He left yest   erday on the night train. He's probabl   y just getting in now.  You'll have    to hurry.
