Speaker,Dialogue
elizabeth,"If she wants my love, let her deserve it. Refused."
elizabeth,Mr Raleigh. I've kept you waiting.
walsingham,Majesty.
elizabeth,"Yes, Walsingham?"
walsingham,"The traitor has talked, majesty. The traitor Throckmorton."
elizabeth," Forgive me, sir. As you see, my time is not my own."
torturer,You'll never guess what I heard -
elizabeth,"What do you know of the Enterprise of England, Ambassador?"
don guerau,"The Enterprise...? Forgive me, your majesty..."
elizabeth,It's a plan for the invasion of my country. Two armies landing on the coasts of Sussex and -
walsingham,Norfolk.
elizabeth,"And Norfolk. Mary Stuart is to be set free, and placed on the English throne."
don guerau,I know nothing of any invasion plans.
elizabeth,"I refer to this plan as the Enterprise of England. It should more accurately be called `la Empresa di Inglaterra', because it's a Spanish plan. The plan of your king, my one-time brother-in- law, Philip II, to attack my country."
elizabeth," You will leave my presence, sir! Go back to Spain! Tell Philip that I don't fear him, or his priests, or his armies. Tell him if he wants to shake his little fist at us, we're ready to give him such a bite he'll wish he'd kept his hands in his pockets."
don guerau,"You see a leaf fall, and you think you know which way the wind blows. But a wind is coming, madam, that will sweep away your pride. H e bows and turns to go. Elizabeth's words blaze after him."
elizabeth,"I too can command the wind, sir. I have a hurricane in me that will strip Spain bare, if you dare to try me!"
elizabeth,What are you staring at? Lower your eyes! I am the Queen!
elizabeth,You ask permission to go.
raleigh,"Yes, majesty. ELIZABETH You plan to return to the New World. To your colony. For two, or three, or four years. RALEIGH If your majesty grants me your royal warrant. ELIZABETH That is a long time. RALEIGH There's nothing left for me to do here. At sea I know what I'm to do, I know the risks, I know the rewards. Here -"
raleigh,Captain of your - !
elizabeth,Kneel.
elizabeth,"Rise, Sir Walter Raleigh."
raleigh,This is too great an honour.
elizabeth,"If it's such an honour, why are you staring at your boots? RALEIGH You know why. He raises his eyes, but he still doesn't look at her. ELIZABETH Now you stare at the wall. Am I so old and hideous that you can't even look me in the face?"
elizabeth,"My friend, forgive me. I'm a vain and foolish woman. At court it's all a game. I like to be admired. I require it. I grow accustomed to it. But it's all - nothing."
babington,"Francis is about to die! We must act!      R ESTON He enters heaven as a soldier returns home victorious from war. BABINGTON Why don't we strike? What's he dying for? Is this part of your plan?  Reston puts his hands on Babington's shoulders and gently but irresistibly forces him down to pray with them. RESTON Lord, be with us as the end approaches."
omitted,56                                                                 56
burton,Morning. Another filthy day on God's stinking earth.
guard,Morning to you.
ellarman,Nothing but beer. Satisfied?
annette,Madame! Madame!
mary, The gentlemen are ready. It will be soon now.
annette,Blessed Mother of God pray for us!
mary,"Bring me pen and paper, Annette. They wait on my reply. Hurry, now, hurry!"
dee,"The alignment of the planets is most unusual this year. Mars is due to take the ascendant three days after the anniversary of your birth - your majesty was born on September 7th - and I see that twelve days before the anniversary of your birth - He transfers his attention to a different, astronomical chart."
dee,- there will be a full moon - the moon which -
dee,- governs the fortunes of all princes of the female gender.
elizabeth,Princes of the female gender.
dee,"I mean to say, a prince who is also a woman."
elizabeth,"Yes, Dr Dee. I am following you. So what does it all mean? D EE It means the rise of a great empire, majesty. And it means convulsions, also. The fall of an empire."
elizabeth,"Which empire is to rise, and which is to fall?"
dee,"That I can't say. Astrology is, as yet, more an art than a science."
walsingham,"Nothing more, Dr Dee? No more specific calamities that we can guard against?"
elizabeth,"He means, Will I be assassinated?"
walsingham,Queens are mortal.
dee,Elizabeth is mortal. The Queen will never die.
elizabeth,"You see, Francis? This is a mystery.  He has no patience with mysteries. W"
alsingham,"What I don't know, I can't use."
dee,And yet mysteries have power. Have you not learned that?
elizabeth,Francis. Leave us for a moment.
elizabeth,"And the private life of this prince of the female gender, Dr Dee? What do the stars foretell there? Or is this too a mystery?"
dee,"These are matters of state, majesty."
elizabeth,Do the stars not foretell matters of state?
dee,"For such a prediction, I must look in a different chart."
dee,"Wonderful... Out of such suffering, to have forged such strength... You will need all your strength in days to come... And love... So much love..."
dee,"But I'm no prophet. I see no more than the shadows of ghosts. ELIZABETH An art, not a science. I understand."
reston,You have it?
reston,What do you think? There must be
reston,We wait on a direct order. He completes the note and gives it to Burton.
reston,"One more journey, my friend. Then -  consummatum est! It is finished."
bess,"Please! I'm innocent! I've always been a loyal servant of the Queen. I'd never betray the Queen, never -"
walsingham,"But you have, my dear. And you do. We both know that."
walsingham,"Keep me informed, and all will be well. I don't like surprises."
ancing master," When I push like this, my lady, give a jump into the air."
elizabeth,"Let him throw you round, Bess. You can trust him."
dancing master,And round - and round - and round - and down!
lizabeth,"L a Volta, Mr Raleigh. The jump. I require all my ladies to learn it. You see how fearless Bess is."
raleigh,You like your ladies to jump at your command?
elizabeth,Sometimes. Do you think that wrong?
raleigh,"No, no. You're the Queen. You are to be obeyed."
elizabeth,"To tell you the truth, Mr Raleigh, there are times when I'm tired of being always in control."
raleigh,Nonsense.
elizabeth,What?
raleigh,You don't mean a word of it. You eat and drink control.
elizabeth,Do you say so?
elizabeth,"Bess, you must try a dance with Mr Raleigh. He's eager to show us his skill."
raleigh,"No skill at all, majesty. I don't know the steps."
elizabeth,"Oh, it's very simple."
elizabeth,"You stand like this, with your hands firmly clasped here - and when she jumps, on the eighth step, you swing her round - once, twice, three times - and you're back to the beginning. What could be simpler?"
dancing master,Your majesty knows the dance better than I.
elizabeth,"So come, Mr Raleigh. Take your position. I am to be obeyed."
raleigh,As your majesty wishes.
elizabeth,Hold her tight. I don't want her dropped.  Play!
elizabeth," Leave her alone, Walsingham. I want both of them left alone."
ary,"Am I a danger to England even when I pray? P AULET As always, ma'am, my concern is for your safety."
mary,I pray for my cousin Elizabeth. Do you think she prays for me?
reston,"`If our forces are in readiness, both within and without the realm, then your Queen commands you to set the gentlemen to work.'"
william," This is the spark that will set England ablaze. Reston takes out pistols, and hands one to Ramsay, one to Babington.           R ESTON We've been patient long enough. Let God's work begin."
william,It's me. William.
walsingham, Where have you been? We haven't seen you for days.
william,I met up with some old friends.
walsingham,"From Paris, no doubt."
william,Yes.
walsingham,And now you've come back.
walsingham,"Do you know, I can still remember the day you were born?"
walsingham,"I was eleven years old. And you, this helpless bundle. I looked at you in your crib, with your little wrinkled face, and I loved you from the first. I vowed then to look after you. I watched you grow up with your head in the clouds, always a dreamer. I couldn't follow you there. And now I've failed you, haven't I? Forgive me if I haven't loved you enough."
walsingham,Did you really think I didn't know?
walsingham,Was it for money? At least tell me you got a good price. W illiam shakes his head.
walsingham,What then? What would you murder your own brother for?
william, Eternal life.
walsingham,Eternal life. The bribe no man can refuse.
royal servant,The Queen is at her prayers! T he chapel doors begin to close.
babington,Now!
ramsay,God for Mary! England's true Queen!
babington,Elizabeth!
mary,You bring news?
paulet,The Queen has been attacked -
mary,Yes?
paulet,The assassin seized -
mary,Yes?
paulet,The Queen unharmed -
mary,Unharmed?
paulet,"And you, ma'am, are under arrest."
mary,Me? What has any of this to do with me?
paulet,"My own invention. Theatrical, but effective. My master has every letter you've written."
mary,Your master?
paulet,Walsingham.
mary,Traitors. I'm surrounded by traitors. Who am I to trust?
mary,Only my little one...
walsingham,"Ready to die, I see, Jesuit."
reston,I have done what I was sent to do.
walsingham,Why was the gun not loaded?
william,To kill the Queen. You know it. You know everything.
walsingham,Not quite everything.
william,"I've told you all I know. Go ahead and kill me. Take what's left of me. I don't care any more. All my life you've had everything and I've had nothing. So finish it. There's a better world waiting for me. We'll all be judged in the end, brother. Even you."
walsingham,You're no martyr. You weren't even much of a murderer. Go back to France. Back to your dreams. Never let me hear of you again.
reston,Send me home.
elizabeth,"They say she's taller than me. Her hair is chestnut in colour. Her eyes are hazel. They say she's beautiful. But people lie. They say I am beautiful. A dismissive shrug. Clearly she does not think herself beautiful. BESS She plotted to kill you. ELIZABETH Yes, it's true. I've read her letters. I too was a prisoner"
mary,"Who are you to sit in judgement on me? By what authority do you condemn a Queen? God alone has made me what I am. He is my only judge. Raise your law above God's law, and what law remains? In your vanity and ignorance you set loose the monster of misrule. You know neither who you are nor what you do. But I know who I am. I die as I have lived - trusting in the mercy of my God - a Queen. 8"
