Speaker,Dialogue
irene,Wonderful. Case closed then. Your services are no longer required.
holmes,"I can't help wondering if your employer will be as content with these results? You were uncharacteristically ill at ease in his presence. Your hand was trembling, your gaze was averted. I couldn't see his face, but I spotted chalk on his lapel. A professor perhaps?"
irene, The eye patch was a nice touch.
holmes,"But I've never known a professor to carry a gun, and on such a clever contraption."
holmes,We're not.
holmes,Tell me who you're working for and what he's after.
irene,That's nobody's business but my own.
61a.,75   CONTINUED:                                                 75 HOLMES I disagree.
irene,"You see, we are arguing."
holmes,"When a man you ask me to find ends up dead in the coffin of the most notorious murderer since Jack the Ripper and that murderer manages to return from the dead, not only is it my business, it's the business of Scotland Yard and the highest levels of the British government. They will certainly consider your reticence to be an obstruction of justice. Which in relation to a crime of this magnitude would certainly mean prison time."
irene,This wine is excellent.    You should really try some.
holmes,So what's it to be?
irene,Do we really have to decide now?
holmes,"You're in over your head this time, Irene."
62.,75   CONTINUED:                                                  75 IRENE That's better.
irene,Much better.
irene,"This is the only way it could ever work between us, Sherlock -- one in shackles, the other with the key."
irene,I've NEVER been in over my head.
holmes,How can you live like this -- always a fugitive.
irene,"But free. And on my own terms. Just like you -- well, not you at this exact moment --"
63.,"75    CONTINUED:                                                75 She pulls at the front of his trousers, throws the handcuff keys down there."
irene,-- but generally speaking.
irene,"If anyone asks, please let them know that Mr. O'Neil didn't have time to check out.  I hope you don't mind settling the bill."
irene,What were you doing consorting with a married business traveller in his hotel room is something you'll have to explain for yourself.
irene,Where's Watson when you need him?
perigrine,"Good evening, sir. Some figs and honey with a nice glass of port? I've prepared a tray."
sir thomas,"No thank you, Perigrine, I'm going to bed.  You won't let those figs go to waste, will you?"
64.,"77    CONTINUED:                                                   77 BLACKWOOD  Hello, Father..."
blackwood,You can't fight it. It comes from a power greater than yours. You can only surrender.
blackwood,I've been imagining this moment for a long time...
blackwood,"... I must admit, it's better than I thought it would be."
holmes,"Don't take this the wrong way, but might I borrow your hand?"
holmes,"Chambermaids were once such a liberal breed. Besides, she misinterpreted my intention entirely. "
65.,"78A   CONTINUED:                                                  78A HOLMES  This is why I find this modern religious fervor so troubling, there is no latitude for misunderstanding."
holmes,Faith runs riot over reason.
constable clark,"Well, it's a good thing she was offended or we'd never have found you. The inspector's been over to Baker Street himself this morning."
constable clark,"We've checked everything. No sign of a break-in. The Butler didn't hear anything. The body was in the tub, eyes wide open -- -- so that Const. Clark ends up talking to thin air."
constable clark, -- only his ring was missing.
65a.,78C   CONTINUED:                                                78C HOLMES Why did you drain the water?
police officer,Out of common decency.
holmes," Crime is common, logic is rare. The decent thing to do is catch the killer, not provide comfort to the corpse."
holmes,Hmm...
holmes,What is that?
police officer, Uhhhh... jasmine?
holmes,"Superb. I suspect this comes from a larger cannister. It'll either be in the pantry, high up where it's warm and dry, or in a linen closet with a vent. And, Constable, you could check the ground under the rear windows for any footprints not your own."
holmes,"Data, data, data! I cannot make bricks without clay!"
65b.,"78C   CONTINUED:                                               78C His eyes keep moving, noticing something on a wall. He steps toward it, runs his hand along a layer of dust. The dust has a line down it, as if the wall cracked open."
68.,"80   CONTINUED:                                                80 HOLMES Elbows and arms stained with blood, but older than his own injuries. Plenty of it, layer on layer..."
holmes,Though none of it human.
holmes,A butcher perhaps...?   What else?
holmes,"Hm -- predominantly yellow flame, but with distinct green bursts. Sulfurous. He spent lots of time around industrial work and very little around a wash basin."
holmes,Coal... river silt...
holmes,That plus the river silt and industrial slag on his trousers puts him squarely in...
watson,Nine Elms.
holmes,"Well done. Now, you didn't happen to pack the Lord's Register of members' interests, did you?"
68a.,80   CONTINUED:                                               80 HOLMES See what Blackwood admits to owning.
watson,"It's endless, he's had a hand in just about everything that's not good for you."
69.,80      CONTINUED:                                                 80 HOLMES Something brutal by the river...
watson,"Woolwich Arsenal... Limehouse Chemical... Queenshithe Slaughterhouse, Nine Elms!"
holmes,"That's it, Watson! This should lead us right to Blackwood."
watson,"Not us, you."
holmes,"Right. Well uh... best of luck with everything, then."
watson,Same to you.
watson,"Yes, I know. Don't give me that look, Gladstone."
70.,"82A   CONTINUED:                                                  82A A few DROPS OF RAIN trickle down. He looks up, surprised by the rain. He raises his collar, and keeps moving."
standish,What's the meaning of this?   Why did you call us here?
lord coward,"Sir Thomas is dead. Effective immediately, I nominate Lord Blackwood as head of the Order."
standish,"Are you mad, Coward? Have you any idea what he's capable of?"
blackwood,I am humbled. I am honored. 
71.,83   CONTINUED:                                                    83 BLACKWOOD  A magnificent and simple purpose. A different future... a future ruled by us.
blackwood,"You've made policy in secret for centuries. Now, you'll make it openly."
blackwood,"The first act is a necessary one, for without death there can be no rebirth...  Are you with me?"
standish,"No, sir, we are not!  The powers he's playing with are beyond any man's control."
blackwood,They're limitless -- even death holds no sway.
standish,Help me stop him before it's too late.
71a.,"83    CONTINUED:                                                  83 In desperation, Standish pulls a gun.   But as he aims it at Blackwood -"
blackwood,I wouldn't do that.
72.,83B   CONTINUED:                                                83B
blackwood,"Come, drink your allegiance here."
holmes,"Everything all right, Captain Tanner?"
