Speaker,Dialogue
lamfone,How about getting them down there?
umberto,"I'll talk to. Doctor Earcenas,"
santio,And we'll all end :zn. Faith cu= balls - in the g='av.
tony,There's no problem there. Every- thing will be handled through me and in cash.
hagzn,You can tell your friends that they have a deal.
sage,Tell them this too --- what the Corleone family wants for its part in this operation is the uncondi- tional pardon of Danny DeVito. And that will have to come first.
tony,I don't know if they'll accept that.
rage,It's a non-negotiable condition.
you really,Devito?
hagen,Why not?
santino,That would have to come right from the White Souse.
instructor's voice,"A doomsday car is a vehicle which is loaded with a high explosive, such as gelignite, and left in an area where it will do the most dam- age when detonated --"
instructor,"Do I read disapproval on your face, Mister Adams? AsNOTR NN-- ~' ..ncludina the tra:..'aing class. thirty or fort., men 4= army fatigues. Score are dark men, mustachiced., pass E :t iler Saudis cr Iranians. Amcnq t!?iese we finch Tony."
tony,No I don't.
instructor,And that yonder is a doomsday ca_r.
another ana,"including an old car set in a valley some two hundred yards away. The Instructor takes the detonator off safe and as he activates the charge in the doomsday car, we zoom in. The explosion fills the screen as the doomsday car is blown to hell."
commander,"The cryptonym is a name used in place of the true name. In the company, crtonyms consist of two letters that determine the general catagory followed by a word -- the United States Govern- ment is designated by the letters ""O"" and ""D"", and the word ""Yoke""."
student,What's that last one?
instructor,0-0--envy?
platoon,Hut two three four --
instructor,"You're not singing, Mister Adams. Aren't you harpy is our little croup? As Tonv locks over at the : - acing Drill inst? ?c cor , h t en starts chanting a h --he zest C:iT To :"
pistol instructor,Good. shooting. You do a lot of hunting?
tony,No.
pistol instructor,"Mast run is the family, then."
tony,You might be right.
teacher,"On the ordinary pin tumbler cylin- der lock, the spring actuated drivers are partly in the shell and partly in the plug. The. trick is to lift them up so the plug can turn freely --"
teacher,"Once you've gotten the lock picked and the door opened the best thing is to tape the bolt mechanism back so you won't have to keep picking the lock - As the Teacher Instrructs the class - a la Watergate break-inn -- how to tace back the bolt mechanism, we"
instructor,This object is a United States Marine Corps killing knife. I.. will now demonstrate that it is not worth doodley shit if you don't know how- to use it.
ana angle,as the Instructor looks around the circle of Officer Trainees and from them chooses Tony.
instructor,"You.. You'd like to kill me, wouldn't you, Sir? Well, here's your chance. The Instructor tosses Tony the knife. Tony catches it. As they circle,. the Instructor taunts Tony."
instructor,"Come on. Come on. Make a move, Sir. Are you falling in love with me? Then do something hostile. Make a face. Stick out your tongue. Do something, Mister Adams. Tony swings the knife. The Instructor avoids him."
instructor,"My little bitty sister can make a better move than that, Six."
another angle,"The Instructor offers a tempting target. Tony swings. The Instructor slaps his cap across Tony's face, grabs Tony's wrist and disarms him, throwing him to the ground."
continued,"The Instructor has been waiting for this. Re flips Tony again.- Tony lies inert an the ground. The Instructor comes up, beads to inspect Tony. As he does so:"
another angle,"Tony rolls to his feet, grabs up the killing knife and presses it to the Instrutor's throat."
tony,"All right you, son of a bitch, tell me about it.. The Instructor is looking at Tony. Suddenly he grins;"
instructor,"You're getting there, Mister Adams."
newscaster's voice,"Today in Leavenworth, Kansas, one-- time International Brotherhood of Dockworkers' President, Danny DeVito i was. released. on pardon after serving six and. a half years of a fifteen year sentence an embezzlement and conspiracy charges. DeVito didn't state his future plans, but insiders expect him to challenge the incum- bent President, Pat Brady, in the up- coming election."
another angle,"As Tony comes into the room, Palmateer gives him a pen and a couple of pieces of paper."
another arglz,"As a large car pulls up and stops in front of Tony, he opens the door and gets into the backseat. We now might be able to see that F'rankie is driving. With him in the front seat is Santino. In the back- seat is Umberto Croce. INT'. THE L SOUS tNE - DAY as Tony gets in and sits next to Croce. General greetings, then Tony gives the briefcase to Croce."
tony,Take a right on Sixteenth Street.
ano angle,"As Croce sets the briefcase on his lap, Tony reaches into his pocket and gives him the key. Now Croce carefully unlocks the briefcase. As this is going on:"
tony,How's. your progress?
croce,"Doctor Barcenas is getting an assaS,ilt team together."
tony,'Barcenas?
tony's voice,It's all there.
crocz,We're in business.
tony,I' I L see you in Florida..
tony,"Hiss Duane, please."
continued,"Tony turns to watch a woman move off with two drinks- that were clearly his. 'Now, a. braided Admiral usurps Tony's place."
tony,"I believe I was next, Sir. The Admiral throws a look in Tony's direction, then pays for the bourbon and coke and exits."
tony,"Scotch-rocks. Here. Two.. EXT? TEE TERRACE  - NZGET On the broad, impressive terrace, overlooking the curve of the river- as it mirrors the lights of Washington, we find Elizabeth, dressed for evening. She is surrounded by three urbane men, Morton, her Television Producer, Swartzwalder, a Jurist and McKissick, a young Senator. McKissick is lighting Elizabeth's cigarette as Tony comes up with the two drinks."
tony,Finally.
elizabeth,Thank God for 'the Navy. As she takes her drink:
elizabeth,"Mister Adams,_ I'd like you to meet Judge Swartzwalder -- Senator McXissick and Jack Morton from wham all blessings flow ---"
morton,"As long as the ratings hold up. As Tony is shaking hands around with the Judge, McKissick turns to Elizabeth:"
mc eissick,Burning the midnight oil at State?
another angle,Tony has heard this last.
swartzwalder,You stationed in Washington?
tony,On temporary assignment.
elizabeth,He's doing a background on Azmando Vidal.
mc rissic,A fine. man. And thank God we're back on speaking terms -- or are we?
morton,"If you don' t know, who? A buzzer sounds from inside. Elizabeth hands Tony her glass."
elizabeth,"Would you be an angel and Tony takes the glass from her, crosses and puts it on a nearby bench. As he does so, Elizabeth is Look- ing after him, as to the others:"
elizabeth,I've always had a =ad thing for sailors- They've got such neat little asses. As Tony returns and escorts her back into the theater:
there's one,Tony hurries for the taxicab.
anotseb angle,as. an Airforce General intercepts the cab.
general,Believe this is mine.
elizabeth,f f ere comes another.
admiral,Stop: Stop!
elizabeth,"You have interesting talents, Mister Adams .."
tony,You'll be astonished.
elizabeth,i I'm looking forward to it.
anoteer angle,featuring Elizabeth as
elizabeth,Now. Now. Yes. Now
elizabete,What's wrong?
tony,Shh.
elizabeth,There's a window in the front room. It rattles.
tony,I don't know.
elizasetb,"Well, I do."
another angle,"as Elizabeth swings out of bed, naked, crossing out of the bedroom and into the hall."
another angle,"As a. Second Man appears. This one has a gun. The First Man turns to him, speaking in a whisper."
first maim,Bring him down here. The- Second. Max. nods. We follow him as very softly he goes down the hallway.
another angle,"As: the Second Man stands motionless, Tony is on. his feet and up to him. Tony takes the qua from him and tossing it an the bed gestures, forefinger to lips, be quiet. Now, Tony turns to the Man and. starts down the hall with him. Tony has him by the back of the jacket, his Tun pressed against the back of the Second Man's head."
tony's voice,"Turn very easy. The First Man turns, sees Tony and the Other Man."
tony,"S've got a. gun at your partner's head. There is 'a beat, then:"
first man,Drop the gun or I slit her throat.
tony,You drop the knife.
first man,Don't you think I'll kill her?
second man,"Cut her a little bit to convince this asshcle. Open up her throat. Suddenly the Second Man's knees buckle as. Tony, in a lightning move, brings the gun barrel down across the Man's head. As the Second Man is on his hands and knees, Zi.?ce a stunned ox, dripping blood on the carpet, Tony tuns once more to the an with the knife."
tony,I'm going to give you one more chance. Trot the k:i-`f:a and !'I--l let you go .
anotser angle,"as the Second Man, still on his hands and knees, now pushes himself up to a kneeling position."
second man,"Show him a little blood. As the Man with the- knife nods grimly, Tony puts his gun to the back of the kneeling man's head and calmly pulls the trigger."
anotber angle,"The. kneeling man plunges for+qard, dead, the back of - his head blown off.. Tony now turns, without emotion, to the man with the knife."
tony,That's what you're going to look like in two seconds if you harm that girl..
anotrer angle,"As the First Man drops his knife and releases Elizabeth, she is locking at Tony, stunned, her aplomb totally vanished."
tony,Go get dressed and call the Police. Elizabeth nods and half-stumbles out of the room. Tony crosses to the Man.
first xux,"when the cops come, you're going to be up on a murder rap, baby."
tony,"No, I'm not. Tony lifts the gun and blasts the First Man three times in the chest."
another angle,"as Elizabeth bursts bac k into the room, looks, then starts to scream. Tony crosses up and taking her in his arms, softly comforts her."
tony,"It's all right.. He tried to get my gum away and I had to shoot him. As. Tony, still comforting her, moves her away, We --"
the pier,"Crewmen of the fishing boat are tieing up as Roberto Barcenas comes down onto the pier followed by half a dozen others. They are radio, Borracho, Padre Pepe,' El Fararon, Arrigo and Roberto's younger brother, Jorge. Croce and Roberto embrace, then :"
croce,This way. M=. As AIRSTRIP - DAY A rough airstrip has been bulldozed out of the scrib pine and palmetto forest. At one end is a hanger and on its side the words: INTER-CAR EAN CBAMTERS. As Croce and the Latin Americans come up:
croce,"Tony, I' d :like you to meet Doctor Barcenas."
tony,"I'm pleased to meet you, Doctor. They shake hands, then:."
roberrto,"Permit me to present my companions -- Indio, Borracho, Padre Pepe, El Fararon, Arrigo and my brother, Jorge. The members of the assault team -- the Indian, the Drunk, the Priest, the Pharoah, Arrigo who looks like a pimp, and the romantic, fire-eating younger brother -- are introduced to Tony individually. Xd lib greetings, then to Barcenas:"
tony,Are you read-!?
roberto,For many years. As they move into the hanger:
roberto,Z understand from Senor Croca that the idea with the diving suit did not work out.
i tony,There were a few problems.
roberto,But the other is. fine?
tony,"Yes. ,"
tony,"we got you BARS and Carbines plus ten, thirty calibre light machine guns, and ten, four-point t o inch mortars with a thousand rounds of high explosive and a thousand, rounds of white phosphorous. Tony is pointing out the various boxes and crates:"
jorge,What about sub-machine guns?
jorge,Ten thousand rounds! Aye de mi!
anoteer angle,"as. Tony picks up and hands Roberto a long, olive green plastic tube."
tony,"We also got you two hundred Sixty- six, millimeter, M-72 LAW rockets. They're lightweight, one-shot dis- posable Bazookas."
arrzgo,"We make a little trouble for E: Presidents, hey?"
jorge,When do we leave?
tony,"You, go in tomorrow to get it ready. I'll meet you down there at the end of the week."
pepe,t am.
tony,"I'll show you the set up. As Tony and Padre Pepe move off together toward. a short wave radio set up in the corner, ae --"
la one,"Here they came. We are pulling back. Also present in the large, attrac- tive office, are Tom Hagen, Danny DeVito and Sant no Corleone, who is at the bar fixing drinks."
santino,Half an hour late.
devit0,0 I'm happy he's here at all. That means he's willing to talk like a reasonable man.
lampone,Maybe that's too bad.
anoteeq angle,as Santino comes over with the drinks io Hagen and DeVito. As Danny accepts his-drink and raises it to
devito,"To you -- all of you. I'll never be able to thank you for what you done. As DeVito drinks, the intercom is buzzing. Hagen flicks it."
secretary's voice,"Mister Maatxocina and Mister Augusto are here, Sir."
hagen,"Send them in, please."
another angle,"Eagen comes around his desk to the door to greet Maatrocina as he enters, followed closely by the cold-looking Ralph Augusto."
eagen,Sam. Z'm glad. you could come. Ralph. Good to see you. What are you drinking?
maatrocina,"Z'11 take a little bourbon with you._ On the rocks. Sagem nods at Santino who crosses to the bar to make the drink, as Hagen turns now to Augusto."
hagen,Ralph?
augcsto,Nothing.
hagen,Coke?
augusto,Nothing.
maatrccina,One more thing I know -- Danny' s
hagzn,How we can all accommodate to this new situation.
hags,"Problem being, for the vast five years the well dried up an us as you might say. It was almost as it Pat Brady had scmethin q against us personally."
eagen,You don't like to bother your friends about these matters.
maatrocina,What are friends for?
hagw,"In any case, the problem is solved ar will be soon. Tice well is ao longer dry."
maatrocina,And. everybody gets to fill his bucket. That's as it should be. After us.
maatrccina,Meaning what exactly?
baby,1 That's right.
another anglz,As Maatrocina makes flat paddles of his hands and points them inward to his chest as he turns to DeVito.
maatroclva,"And what am t? An orphan? I want to get in on Atlantic City, too."
devito,Are you talking about a hundred million dollars?
maatrccina,"If fifty and fifty still make a hundred, that's what I'm talking about."
devito,it can't be done.
hagen,"He's also got the Department of Labor, a board of trustees and the SEC looking down his throat. He can't make that large a commit- ment."
devito,We` can't put more than twenty-five percent of our assets into real
maatrocina,Is that what you brought me across the country for?' To tell me I'm getting frozen out?
devito,Nobody's freezing anybody.
maatrocixa,Then why do I feel these chilly winds nipping at my ass?
devito,You should felt the winds in that joint. It was Sagen that got me out.
maatrcciya,We both want tc get into Atlantic City. L can't give them a year's head. start.
anotem angle,asDe Vito looks over at Tom Eagen.
devito,Tom? What if-you people take thirty and Sam takes twenty?
maatrocia,I st. not taking any ten. What they get. I get. That is final.
devito,"I All. right, All right. Maybe Z can work something out. Z' 11 try`. MAATROC n A Try hard."
anotser anglz,Maatrocina glances over at Augusta. They rise.
leaved he,49 
lan one,I'm counting on it.
another angle,"As Lampone crosses to the window to watch Augusto and Maatrocina leave through the pool area below, Hagen moves to Danny DeVito."
hagen,"I'd like to put a couple of people with you,, Danny."
devito,"I don't need your people, Tom."
devito,I'll take a rain check.
another angle,"As Devito grins, shakes hands around and exits, Hagen turns to Santino."
hagen,I want you to fly to Washington tonight. Talk to Senator Geary. Anybody you have to. But find out who ' s on Maatrocina' s payroll.
santino,You think he's walking into some- thinq down there?
balm,"That's what I want you to find out. As Santino turns and goes, we ---"
anotser angle,as the crowd laughs and cheers them on.
a woman,Aqua! We move up to a loud speaker attached to an ornate and bunting festooned.lampost. From the speaker we hear:
another angle,"As the predominantly Latin American crowd cheers, we pick out Tony, in civilian clothes, amongst. the' cheer- ing people."
viral,"The blood of our martyrs is still too fresh on our pavement. We will be friends and neighbors, but never again slaves to Imperialism."
elizabeth,"With all due respect, that's bull- shit.. The man's obviously inccm- petent or the car wcu: d have been"
waiting exactly,She breaks cf-f . seei nc Tony.
tony,Hi. She stops. Ee crosses up:
tony,r thought you weren't coming down here. She doesn't answer.
tony,Aren't we speaking?
tony,Yes.
jorge,This way. Jorge leads them aboard.
roberto,"It's good to see you, my friend."
roberto,Everything is ready. Arms and aumm=ition distributed. Now the waiting.
tony,You've set a time?.
rcbeato,Day after tomorrow. Seven A.M.
tony,Good.
anjelica,You have something for me?
tony,"A hundred thousand pesos, cash. Count it, please. As Roberto takes up the money and counts it., Tony takes out a small vial in a plastic container."
tony,And this.
tony,"The symptoms are those of botulisat. High fever, nausea, vomiting, and death. Within an hour."
anjelica,Yes..
