Speaker,Dialogue
guenevere,"But surely that's no secret to you, dear Lancelot. You're the bravest and strongest knight they've ever seen, and beauty has kissed your brow."
guenevere,The well-kept secret is whether any of them has won your heart.
lancelot,No.
guenevere,Why?
lancelot,I am a fighting man and I am married to the quest. That is enough.
guenevere,And there is no maiden in the whole world who inspires you?
lancelot,There is one.
guenevere,Who?!
lancelot,You.
guenevere,Me?
lancelot,Yes. I would swear my love to you.
guenevere,To me? But why?
lancelot,"I cannot love as a woman the lady who will be wife to my King and my friend. And, in pledging my love to you, I cannot love any other woman."
lancelot,"I will see you in all women, and I will defend them as I would defend you."
lancelot,"Lord Merlin, are you ill?"
merlin,"No, no, I need air."
uryens,"Merlin, don't you join the celebration?"
uryens,"My wife, Merlin. Lady Morgana of Cornwall."
morgana,"I remember you, Merlin. I was a child. You took my brother away."
merlin,You left your husband's side? You left your brother's wedding?
morgana,"Is that Mandrake, Lord Merlin?"
merlin,It is.
morgana,Can it truly be used for magic?
merlin,Yes... sometimes...
merlin,...There are many powers in this world.
bishop,Drink this the blood of Jesus Christ our Lord.
perceval, Sorry. Hungry.
perceval, Have I taken too much?
perceval, I had rabbit yesterday. Today I'll eat fish... No?
lancelot,Don't be afraid.
perceval,You're an angel! Not a devil...
lancelot,Just a man. A knight in the King's service.
perceval,You're a man?!  ...with metal skin!
perceval,Can I grow metal skin?
lancelot,You've got a lot to learn.
perceval,I'll learn... take me... to the King... What's a... King?
lancelot,Very well. Climb up.
perceval,I will run.
lancelot,"Listen, boy, it's more than twenty days from here."
perceval,Twenty days!? The world is that big?
perceval,Who will give me my sword?
kay,"Kitchen knives and greasy spits will be your weapons, boy."
fat man,"I brew ale, sir--from old shoes--I am an honest tradesman sir. I must sell what I produce. He won't buy ale and he won't pay. Pay up! He leans over the barrel and sucks in the vapors. The vapors are mine."
thin man,"How would you know I, sir, have the misfortune to live next to this criminal... What loss in that? Not to me! Pay for what? Why?! They are floating on the wind."
arthur,Enough!... What is a fair price for the smell of your ale?
fat man,"That's why we have come to you, sir There's no one else who can tell us."
arthur,What does it cost to get drunk on your ale?
fat man,"At least three shillings, sir."
arthur,Give me three shillings.
arthur,"For the smell of your ale, the jingle of his coins."
morgana,"What did I see today in the wizard's eyes? Censure, because I enjoy a few words with a young handsome knight?"
merlin,"No, no, of course not. You are young..."
merlin,I'm not jealous!
morgana,"It's clear you are, and it irks me."
merlin,"No. Yes, I am. I am jealous. I want to write poems about you with moonbeams, make the sea sing your name..."
morgana,A lovestruck page!
merlin,"Shh... yes, yes. Sit with me, please... Morgana."
morgana,"A steamy, panting, lovestruck page. But what good are songs and poems to me? They are the barter of ordinary love. A gift that reflected your greatness is the only one worthy of your love."
merlin,I showed you all my conjuring tricks...
morgana,"The deepest secrets, the forbidden formulas..."
merlin,Maybe... maybe...
arthur,"Merlin, are you counselor to the King, or to my sister?"
merlin,"At your service, sir."
arthur,"Then answer me this. For years peace has reigned in the land. Crops grow in abundance, there is no want. Every one of my subjects enjoys his portion of happiness and justice, even those whose tiresome misunderstandings we must resolve here each day. Tell me, Merlin: have we defeated evil, as it seems?"
merlin,Good and evil; there is never one without the other.
arthur,"Where hides evil, then, in my kingdom?"
