Speaker,Dialogue
verbal,That was all Fenster and McManus.
kujan,Come on. Keaton was a cop for four years. Who else would know the Taxi Service
53.,KUJAN  better? That job had his name all over it.
verbal,"You keep trying to lay this whole ride on                 t Keaton. It wasn't like that. Sure he knew, but Edie had him all turned around.                 r I'm telling you straight, I swear.                        +"
kujan,"Let me tell you something. I know Dean Keaton. I've been investigating him for three years. The guy I know is a cold-                    + blooded bastard. L.A.P.D. indicted him on three counts of murder before he was kicked off the force, so don't sell me the hooker with the heart of gold.                        +"
verbal,You got him wrong.
kujan,"Do I? Keaton was under indictment a total                 + of seven times when he was on the force.                  + In every case, witnesses either reversed                  + their testimony to the grand jury or died                 + before they could testify. When they                      t finally did nail him for fraud, he spent                  + five years in Sing Sing. He killed three prisoners inside - one with a knife in the tailbone while he strangled him to death. Of course I can't prove this but I can't prove the best part either."
48,48    SCENE DELETED
54.," 50 INT. WORKSHOP                                                        50 Rabin and Louis look at one another as they listen. KUJAN  He was dead just long enough for a murder rap to blow over, then he had lunch."
verbal,I don't know about that.
kujan,"I don't think you do. But you say you saw Keaton die. I think you're covering his ass and he's still out there somewhere. I think he was behind that whole circus in the harbor. My bet is he's using you because you're stupid and you think he's your friend. You tell me he's dead, so be it. I want to make sure he's dead before I go back to New York."
verbal, He wasn't behind anything. It was the lawyer.
kujan,What lawyer?
verbal,"Back when I was in that barber shop quartet in Skokie, Illinois I used to have"
kujan,You think I don't know you held out on the D.A.? What did you leave out of that testimony? I can be on the phone to Ruby Deemer in ten minutes.
verbal,The D.A. gave me immunity.
kujan,"NOT FROM ME, YOU PIECE OF SHIT. THERE IS NO IMMUNITY FROM ME. You atone with me or the world you live in becomes the hell you fear in the back of your tiny mind. Every criminal I have put in prison,"
56.,KUJAN 
verbal,There was a lawyer. Kobayashi.
kujan,Is he the one that killed Keaton?
verbal,No. But I'm sure Keaton's dead.
