	Movie	Genre	Writer	Title	Path
179	Blue Valentine	['Drama', 'Romance']	['Derek Cianfrance', 'Cami Delavigne', 'Joey Curtis']	Blue_Valentine	../data/scraping/texts/Blue_Valentine.txt
180	Blue Velvet	['Crime', 'Drama', 'Mystery', 'Thriller']	['David Lynch']	Blue_Velvet	../data/scraping/texts/Blue_Velvet.txt
181	Body Heat	['Crime', 'Thriller']	['Lawrence Kasdan']	Body_Heat	../data/scraping/texts/Body_Heat.txt
182	Body of Evidence	['Romance', 'Thriller']	['Brad Mirman']	Body_of_Evidence	../data/scraping/texts/Body_of_Evidence.txt
183	Bodyguard	['Drama', 'Romance', 'Thriller']	['Lawrence Kasdan']	Bodyguard	../data/scraping/texts/Bodyguard.txt
184	Bones	['Horror']	['Adam Simon', 'Tim Metcalfe']	Bones	../data/scraping/texts/Bones.txt
185	Bonfire of the Vanities	['Comedy', 'Drama']	['Michael Cristofer']	Bonfire_of_the_Vanities	../data/scraping/texts/Bonfire_of_the_Vanities.txt
186	Bonnie and Clyde	['Crime', 'Drama', 'Romance']	['David Newman', 'Robert Benton']	Bonnie_and_Clyde	../data/scraping/texts/Bonnie_and_Clyde.txt
187	Boogie Nights	['Drama']	['Paul Thomas Anderson']	Boogie_Nights	../data/scraping/texts/Boogie_Nights.txt
188	Book of Eli, The	['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller', 'Western']	['Gary Whitta']	Book_of_Eli	../data/scraping/texts/Book_of_Eli.txt
189	Boondock Saints 2: All Saints Day	['Action', 'Crime', 'Drama', 'Thriller']	['Troy Duffy']	Boondock_Saints_2:_All_Saints_Day	../data/scraping/texts/Boondock_Saints_2:_All_Saints_Day.txt
190	Boondock Saints, The	['Crime', 'Drama', 'Thriller']	['Troy Duffy']	Boondock_Saints	../data/scraping/texts/Boondock_Saints.txt
191	Bottle Rocket	['Comedy', 'Crime']	['Owen Wilson', 'Wes Anderson']	Bottle_Rocket	../data/scraping/texts/Bottle_Rocket.txt
192	Bound	['Crime', 'Drama', 'Thriller']	['Andy Wachowski', 'Larry Wachowski']	Bound	../data/scraping/texts/Bound.txt
